lambda omega period frequency
6.020204e+00 2.453610e+00 2.560792e+00 3.905042e-01
6.743641e+00 2.596852e+00 2.419539e+00 4.133019e-01
5.926330e+01 7.698266e+00 8.161819e-01 1.225217e+00
7.191030e+01 8.479994e+00 7.409422e-01 1.349633e+00
7.414357e+01 8.610666e+00 7.296979e-01 1.370430e+00
8.199217e+01 9.054953e+00 6.938949e-01 1.441141e+00
9.079823e+01 9.528811e+00 6.593882e-01 1.516557e+00
1.164383e+02 1.079066e+01 5.822801e-01 1.717386e+00
1.222680e+02 1.105749e+01 5.682291e-01 1.759854e+00
3.283603e+02 1.812071e+01 3.467405e-01 2.884001e+00
3.576382e+02 1.891132e+01 3.322446e-01 3.009831e+00
4.074072e+02 2.018433e+01 3.112903e-01 3.212436e+00
